chuboe_rfq_id,chuboe_buyer_id,c_bpartner_id,ad_user_id,chuboe_mpn,chuboe_mfr_text,qty,cost,c_currency_id,chuboe_date_code,chuboe_moq,chuboe_spq,chuboe_packaging_id,chuboe_lead_time,c_country_id,chuboe_rohs,chuboe_note_public
1130292,Jake Harris,,,TG110-S050N2-RLTR,,2000,0.55,USD,,,,,"Price/Unit RoHS Phone: +49 89 45 248 235 +49 89 45 248 235 | www.electronic-direct.de | Fax +49 89 45 248 290 ELECTRONIC DIRECT GmbH | Wernher-von-Braun-Str. 10a 85640 Putzbrunn, Germany E-Mail: jyimez@electronic-direct.de Astute Electronics Inc. Jake Harris 500 Center Ridge Dr., Suite 600 US-78753 Austin Texas Our quotation: 235556 Your Contact: Julia Yimez 2000 0618 USD 0,55 / 1 Reel own stock 1.1 TG110S050N2RLTR, Halo Electronics Yes COO: CHINA Julia Yimez ELECTRONIC DIRECT GmbH Thank you Minimumorder: USD 250,00 Payment: T/T in advance Shipment: FedEx Intl. Priority, 423363045, FCA Putzbr Subject to prior sale NCNR (Non-cancellable, Non-returnable) Page 1 of 1",CN,,[VENDOR NOT IN DB: jyimez@electronic-direct.de <mailto:jyimez@electronic-direct.de>]
1130292,Jake Harris,1004411,,594D127X0020R2T,,410,0.98,USD,,,,,d.,,,
NEEDS_RFQ,Jake Harris,1004926,,LM7805CT,,250,1.10,USD,RoHs Price,,,,stock,,,[NEEDS_RFQ - no match in 14 days]
1130292,Jake Harris,1004926,,DG403DY-E3,,6,8,USD,,,,,stock,,,
1130577,Jake Harris,1004926,,VS-80CPQ150-N3,,120,4,USD,RoHs Price,,,,stock,,,
1130577,Jake Harris,1000453,,B82793S513N201,Avon Protection,1455,0.3,USD,NOT UPDATED UNTIL TO,,,,building a more resilient worl,,,
1130577,Jake Harris,1003743,,B82793S513N201,,310,0.40,USD,9826 NON ROHS LEAD T,,,,In stock,,,
1130292,Jake Harris,1009528,,MPZ2012S101AT000,,00897,0.0089,USD,1640,,,,SHIRE,,,
1130588,Jake Harris,1002855,,STM32F103CBT6,STMicroelectronics,4936,2.00,USD,12+,,,Tray,,,,Quoted MPN: STM32F103C8T6.
1130292,Jake Harris,1000491,,0251002.MRT1L,Littelfuse Inc,531,0.310,USD,N/A,,,,STOCK,,Y,1 part mfr reel x 981pcs.
