chuboe_rfq_id,chuboe_buyer_id,c_bpartner_id,ad_user_id,chuboe_mpn,chuboe_mfr_text,qty,cost,c_currency_id,chuboe_date_code,chuboe_moq,chuboe_spq,chuboe_packaging_id,chuboe_lead_time,c_country_id,chuboe_rohs,chuboe_note_public
1130577,Jake Harris,1000453,,LM2903AVQDR,Communications & Ear Protection Inc,60,3.34,USD,/ Rohs,,,,building a more resilient worl,,,Quoted MPN: LM2903AVQDRG4Q1.
1130577,Jake Harris,1013055,,LM2903AVQDR,,2400,01,USD,A677,,,,,,,Quoted MPN: LM2903AVQDRG4. Manual batch 6
1130577,Jake Harris,1002611,,LM2903AVQDR,,63,9.5,USD,14+ 63pcs IC TRO,,,,,,,Quoted MPN: LM2903AVQDRG4Q1.
1130577,Jake Harris,1001637,,LM2901AVQDR,Broadcom,2400,0.10,,QTY PRICE TOTAL PRIC,,,,STOCK,,,Quoted MPN: LM2901AVQDRG4Q1. Manual batch 10
1130577,Jake Harris,1001637,,LM2901AVQDR,,2400,0.10,USD,,,,,,,,Quoted MPN: LM2901AVQDRG4Q1. Manual batch 10
1130577,Jake Harris,1001637,,LM2901AVQDR,,2400,0.10,USD,,,,,,,,Quoted MPN: LM2901AVQDRG4Q1. Manual batch 10
1130577,Jake Harris,1001637,,LM2901AVQDR,,2400,0.10,USD,968,,,,,,,Quoted MPN: LM2901AVQDRG4Q1. Manual batch 10
1130577,Jake Harris,1001637,,LM2901AVQDR,,2400,0.10,USD,,,,,,,,Quoted MPN: LM2901AVQDRG4Q1. Manual batch 10
1130577,Jake Harris,1001637,,LM2901AVQDR,,2400,0.10,USD,,,,,,,,Quoted MPN: LM2901AVQDRG4Q1. Manual batch 10
1130577,Jake Harris,1002611,,LM2901AVQDR,,325,2.1,USD,15+ 325pcs IC TR,,,,,,,Quoted MPN: LM2901AVQDRQ1.
1130607,Jake Harris,1006704,,?BAS16HLP-7,,53000,0.10,USD,A70D,,,,,,,Quoted MPN: BAS16215. Manual batch 11
1130607,Jake Harris,1001094,,?BAS16HLP-7,,53000,0.10,USD,A704,,,,in Stock,,,Quoted MPN: BAS16-235. Manual batch 11
1130588,Jake Harris,1002564,,STM32F103CBT6,,,,,,,,,,,,"Quoted MPN: STM32F103C8T6. [PARTIAL - needs: price, qty]"
1130588,Jake Harris,1002855,,STM32F103CBT6,STMicroelectronics,4936,2.00,USD,12+,,,Tray,,,,Quoted MPN: STM32F103C8T6.
1130577,Jake Harris,1006725,,ISO7740DW,,1200,1,,,1200,,,,,,Quoted MPN: ISO7740DWR.  - Manual extraction batch 2
1130577,Jake Harris,1002482,,ISO7740DW,,5,12.00,USD,-,,,,,,,Quoted MPN: ISO7740DWR.
1130577,Jake Harris,1002482,,ISO7740DW,,2020,12.00,USD,5 PCS-ROHS-,,,,STOCK,,,Quoted MPN: ISO7740DWR.
1130577,Jake Harris,1002863,,NUP2105L,,2105,2105,USD,,,,,1-G),al Parts,,Quoted MPN: NUP2105LT1-G. Manual extraction batch 4
1130577,Jake Harris,1004176,,NUP2105L,,2541,0.05,USD,21,,,,1G),,,Quoted MPN: NUP2105LT1G.
1130577,Jake Harris,1003155,,NUP2105L,,2541,011,USD,,,,,1G),peration,,Quoted MPN: NUP2105LT1G.
1130577,Jake Harris,1001036,,NUP2105L,,2105,2105,,,,,,,,,Quoted MPN: NUP2105LT1G. Manual batch 7
1130577,Jake Harris,1001036,,NUP2105L,,2105,2105,USD,,,,,1G,,,Quoted MPN: NUP2105LT1G. Manual extraction batch 4
1130577,Jake Harris,1003448,,LM2901AVQDR,,2400,0.10,,,,,,,,,Quoted MPN: LM2901AVQDRG4. Manual batch 10
