chuboe_rfq_id,chuboe_buyer_id,c_bpartner_id,ad_user_id,chuboe_mpn,chuboe_mfr_text,qty,cost,c_currency_id,chuboe_date_code,chuboe_moq,chuboe_spq,chuboe_packaging_id,chuboe_lead_time,c_country_id,chuboe_rohs,chuboe_note_public
1011238,Jake Harris,1001637,,LM7805CT/NOPB,Texas Instruments,1392,,,QTY PRICE TOTAL PRIC,,,,building a more resilient worl,MY Thank you,,[PARTIAL - needs: price] LM7805CT/NOPB
1060125,Jake Harris,,,BTS723GWXUMA1,Texas Instruments,,,,,,,,building a more resilient worl,of origin,,"[VENDOR NOT IN DB: GaleraTech RFQ <order@galeratech.com>] [PARTIAL - needs: price, qty]"
1061160,Jake Harris,,,BSP77E6433HUMA1,Infineon,,0.99,USD,,,,Tape&Reel,options,,,[VENDOR NOT IN DB: sales@greenchips.com <sales@greenchips.com>] [PARTIAL - needs: qty]
1061160,Jake Harris,,,BSP77E6433HUMA1,Infineon,,0.99,USD,,,,Tape&Reel,options,,,[VENDOR NOT IN DB: sales@greenchips.com <sales@greenchips.com>] [PARTIAL - needs: qty]
1061160,Jake Harris,,,BSP77E6433HUMA1,Infineon,,0.99,USD,,,,Tape&Reel,options,,,[VENDOR NOT IN DB: sales@greenchips.com <sales@greenchips.com>] [PARTIAL - needs: qty]
1061482,Jake Harris,1000607,,LM2903AVQDRG4Q1,Texas Instruments,63,9.5,USD,14+ 63pcs IC TRO,,,,building a more resilient worl,,,
1061482,Jake Harris,1003481,,LM2903AVQDRG4Q1,Texas Instruments,,,,,,,,building a more resilient worl,of origin,,"[PARTIAL - needs: price, qty]"
1061482,Jake Harris,1000453,,LM2903AVQDRG4Q1,Texas Instruments,60,3.34,USD,/ Rohs,,,,building a more resilient worl,,,
1061482,Jake Harris,1011256,,LM2903AVQDRG4,Texas Instruments,22,.,USD,,,,,ry,ated from outside of,,
1061489,Jake Harris,1001637,,LM2901AVQDRG4Q1,Texas Instruments,3329,,,QTY PRICE TOTAL PRIC,,,,building a more resilient worl,of origin,,[PARTIAL - needs: price] LM2901AVQDRG4Q1
1108679,Jake Harris,1000478,,IMZ120R030M1HXKSA1,Texas Instruments,2149,4.50,USD,ROHS -,,,,building a more resilient worl,,,
1108686,Jake Harris,1001799,,LM7805CT,Texas Instruments,,200,USD,,,,,building a more resilient worl,,,[PARTIAL - needs: qty]
1108686,Jake Harris,1002926,,LM7805CT,Texas Instruments,250,1.10,USD,RoHs Price,,,,building a more resilient worl,of origin,,
1124549,Jake Harris,1004708,,BAS16215,Texas Instruments,,,,A70D,,,,building a more resilient worl,China,,"[PARTIAL - needs: price, qty]"
1124623,Jake Harris,1000851,,STM32F103C8T6,STMicroelectronics,,,,12+ Product Package,,,Tray,,,,"[PARTIAL - needs: price, qty]"
1124623,Jake Harris,1000851,,STM32F103C8T6,Communications & Ear Protection Inc,,,,,,,,building a more resilient worl,of origin,,"[PARTIAL - needs: price, qty]"
1124623,Jake Harris,1000560,,STM32F103C8T6,Texas Instruments,,1.250,USD,,,,,building a more resilient worl,,,[PARTIAL - needs: qty]
1124982,Jake Harris,1000478,,ISO7740DWR,Texas Instruments,5,12.00,USD,-,,,,building a more resilient worl,,,
1124982,Jake Harris,1004729,,ISO7740DWR,Texas Instruments,1200,,,,1200,,,building a more resilient worl,of origin,,[PARTIAL - needs: price]
1127038,Jake Harris,1001161,,FZT751TA,Texas Instruments,,,,,,,,building a more resilient worl,,,"[PARTIAL - needs: price, qty]"
1127038,Jake Harris,1000944,,FZT751TA,Broadcom,3700,,,Descripci,,,,Stock,al parts,,[PARTIAL - needs: price]
1127038,Jake Harris,1000944,,FZT751TA,Communications & Ear Protection Inc,,,,,,,,building a more resilient worl,of origin,,"[PARTIAL - needs: price, qty]"
1128015,Jake Harris,1000036,,NUP2105LT1G,,,2105,USD,,,,,1G,,,[PARTIAL - needs: qty] S
1128015,Jake Harris,1000036,,NUP2105LT1G,Communications & Ear Protection Inc,,2105,USD,,,,,1G,,,[PARTIAL - needs: qty]
1128015,Jake Harris,1002176,,NUP2105LT1G,Texas Instruments,,2105,USD,21,,,,1G),,,[PARTIAL - needs: qty]
1128015,Jake Harris,1003155,,NUP2105LT1G,Texas Instruments,2541,2105,USD,,,,,1G),peration,,
1128015,Jake Harris,1000859,,NUP2105LT1-G,Texas Instruments,,2105,USD,,,,,1-G),TAIWAN New And Ori,,[PARTIAL - needs: qty]
1128015,Jake Harris,1000859,,NUP2105LT1-G,Texas Instruments,,2105,USD,,,,,1-G),al Parts,,[PARTIAL - needs: qty]
1128746,Jake Harris,,"clearly identified as the Seller’s property, and not remove, deface or obscure any identifying mark or packaging on",LM2901AVQDRG4,Invoices are payable in the currency as indicated in the invoice within 30 calendar days after delivery and invoicing,,give the Seller such information as the Seller may reasonably require from time to time relating to the Goods and,"(a) in the case of Goods to be delivered at the Seller’s premises at its Warehouse, at the time when the Seller notifies",,,,,III.,,,[VENDOR NOT IN DB: Enquiries CVC <enquiries@cvc-components.com>] [PARTIAL - needs: qty] deliver up all Reserved Goods which have not been re-sold or irrevocably incorporated into another product at the
